anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,class
0.0,0.003,0.0,0.0,0.0,0.985,0.011,0.0,0
0.005,0.149,0.0,0.0,0.0,0.721,0.125,0.0,0
0.0,0.0,0.0,0.0,0.0,0.952,0.047,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.002,0.0,0.0,0.0,0.997,0.0,0.0,0
0.001,0.007,0.0,0.0,0.0,0.77,0.221,0.0,0
0.0,0.008,0.0,0.0,0.001,0.991,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.001,0.001,0.0,0.0,0.0,0.992,0.006,0.0,0
0.0,0.001,0.0,0.0,0.0,0.925,0.074,0.0,0
0.0,0.001,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,0.989,0.006,0.005,0
0.0,0.001,0.0,0.0,0.0,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.007,0.0,0.0,0.0,0.963,0.029,0.0,0
0.0,0.001,0.0,0.0,0.0,0.98,0.019,0.0,0
0.0,0.0,0.0,0.0,0.0,0.996,0.004,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.002,0.0,0.0,0.0,0.99,0.008,0.0,0
0.0,0.001,0.0,0.0,0.0,0.966,0.033,0.0,0
0.0,0.001,0.0,0.0,0.0,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.991,0.009,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.001,0.001,0.0,0.0,0.0,0.947,0.05,0.0,0
0.0,0.0,0.0,0.0,0.0,0.991,0.009,0.0,0
0.0,0.001,0.0,0.0,0.0,0.972,0.0,0.027,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.987,0.013,0.0,0
0.002,0.0,0.0,0.0,0.0,0.994,0.003,0.0,0
0.0,0.0,0.0,0.0,0.0,0.997,0.003,0.0,0
0.0,0.0,0.0,0.0,0.0,0.998,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.0,0
0.0,0.0,0.0,0.0,0.0,0.988,0.012,0.0,0
0.002,0.001,0.0,0.0,0.0,0.981,0.017,0.0,0
0.0,0.003,0.0,0.0,0.0,0.996,0.0,0.0,0
0.0,0.011,0.0,0.0,0.008,0.981,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.981,0.019,0.0,0
0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0
0.07,0.001,0.0,0.0,0.0,0.891,0.037,0.0,0
0.0,0.0,0.0,0.0,0.0,0.985,0.015,0.0,0
0.001,0.006,0.0,0.0,0.0,0.833,0.159,0.001,0
0.0,0.001,0.0,0.0,0.0,0.996,0.003,0.0,0
0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0
0.0,0.0,0.0,0.0,0.0,0.883,0.0,0.116,0
0.0,0.0,0.0,0.0,0.0,0.994,0.006,0.0,0
0.0,0.002,0.0,0.0,0.0,0.991,0.007,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.001,0.0,0.0,0.0,0.995,0.004,0.0,0
0.0,0.001,0.0,0.0,0.0,0.997,0.003,0.0,0
0.0,0.0,0.0,0.0,0.0,0.983,0.016,0.0,0
0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0
0.001,0.039,0.0,0.0,0.0,0.539,0.421,0.0,0
0.0,0.001,0.0,0.0,0.0,0.997,0.002,0.0,0
0.0,0.0,0.0,0.0,0.0,0.916,0.084,0.0,0
0.0,0.0,0.0,0.0,0.0,0.991,0.008,0.0,0
0.0,0.0,0.0,0.0,0.0,0.987,0.013,0.0,0
0.001,0.0,0.0,0.0,0.0,0.996,0.003,0.0,0
0.0,0.001,0.0,0.0,0.008,0.992,0.0,0.0,0
0.0,0.002,0.0,0.0,0.0,0.992,0.006,0.0,0
0.0,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.007,0.002,0.0,0.0,0.004,0.981,0.005,0.0,0
0.0,0.004,0.0,0.0,0.0,0.995,0.001,0.0,0
0.001,0.001,0.0,0.001,0.001,0.986,0.005,0.003,0
0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.004,0
0.0,0.001,0.0,0.0,0.0,0.997,0.002,0.0,0
0.0,0.0,0.0,0.0,0.0,0.983,0.017,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.001,0
0.0,0.0,0.0,0.0,0.0,0.964,0.035,0.0,0
0.0,0.0,0.0,0.0,0.0,0.993,0.007,0.0,0
0.0,0.0,0.0,0.0,0.0,0.993,0.007,0.0,0
0.0,0.001,0.0,0.0,0.0,0.998,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,0.946,0.053,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.984,0.016,0.0,0
0.001,0.002,0.0,0.001,0.0,0.932,0.001,0.064,0
0.001,0.02,0.0,0.0,0.0,0.645,0.334,0.0,0
0.0,0.015,0.0,0.0,0.0,0.984,0.0,0.0,0
0.0,0.001,0.0,0.0,0.0,0.939,0.06,0.0,0
0.0,0.001,0.0,0.0,0.001,0.986,0.012,0.0,0
0.0,0.0,0.0,0.0,0.0,0.887,0.0,0.113,0
0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.991,0.008,0.0,0
0.0,0.003,0.0,0.0,0.004,0.993,0.0,0.0,0
0.001,0.003,0.0,0.0,0.0,0.868,0.128,0.0,0
0.0,0.0,0.0,0.0,0.0,0.996,0.004,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.001,0.0,0.0,0.0,0.947,0.052,0.0,0
0.0,0.0,0.0,0.0,0.0,0.988,0.012,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.001,0.004,0.0,0.0,0.0,0.99,0.006,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.001,0.001,0.0,0.0,0.0,0.998,0.0,0.0,0
0.001,0.002,0.0,0.0,0.0,0.987,0.011,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.001,0.0,0.0,0.0,0.99,0.009,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.002,0.039,0.0,0.0,0.0,0.798,0.161,0.0,0
0.0,0.018,0.0,0.0,0.0,0.973,0.007,0.001,0
0.0,0.002,0.0,0.0,0.001,0.995,0.001,0.0,0
0.0,0.0,0.0,0.0,0.0,0.994,0.006,0.0,0
0.0,0.0,0.0,0.0,0.0,0.994,0.005,0.0,0
0.0,0.0,0.0,0.0,0.0,0.993,0.007,0.0,0
0.0,0.001,0.0,0.0,0.0,0.994,0.005,0.0,0
0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0,0
0.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.001,0.0,0.0,0.0,0.999,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.993,0.007,0.0,0
0.0,0.001,0.0,0.0,0.0,0.998,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.983,0.004,0.013,0
0.0,0.0,0.0,0.0,0.0,0.892,0.0,0.108,0
0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0,0
0.0,0.002,0.0,0.0,0.0,0.998,0.0,0.0,0
0.001,0.002,0.0,0.0,0.0,0.988,0.01,0.0,0
0.0,0.0,0.0,0.0,0.0,0.966,0.034,0.0,0
