anger,contempt,disgust,fear,happiness,neutral,sadness,surprise,class
0.002,0.065,0.0,0.0,0.001,0.871,0.061,0.0,1
0.0,0.001,0.0,0.0,0.989,0.01,0.0,0.0,1
0.001,0.22,0.0,0.0,0.0,0.729,0.049,0.0,1
0.0,0.0,0.0,0.0,0.002,0.996,0.001,0.0,1
0.005,0.172,0.0,0.0,0.0,0.791,0.032,0.0,1
0.0,0.005,0.0,0.0,0.749,0.24,0.001,0.005,1
0.002,0.003,0.0,0.0,0.0,0.987,0.007,0.0,1
0.001,0.001,0.0,0.0,0.0,0.994,0.004,0.0,1
0.001,0.005,0.0,0.0,0.0,0.831,0.163,0.0,1
0.001,0.068,0.001,0.0,0.0,0.828,0.102,0.0,1
0.003,0.193,0.0,0.0,0.001,0.762,0.042,0.0,1
0.001,0.003,0.0,0.065,0.0,0.851,0.037,0.044,1
0.0,0.0,0.0,0.0,0.0,0.995,0.001,0.004,1
0.003,0.066,0.0,0.0,0.0,0.876,0.054,0.0,1
0.0,0.001,0.0,0.0,0.0,0.96,0.039,0.0,1
0.0,0.055,0.0,0.0,0.0,0.746,0.198,0.0,1
0.002,0.112,0.0,0.0,0.0,0.816,0.069,0.0,1
0.0,0.005,0.0,0.0,0.0,0.963,0.032,0.0,1
0.0,0.001,0.0,0.005,0.0,0.969,0.004,0.021,1
0.001,0.001,0.0,0.02,0.0,0.921,0.008,0.048,1
0.0,0.002,0.0,0.0,0.001,0.992,0.005,0.0,1
0.002,0.073,0.0,0.0,0.0,0.857,0.068,0.0,1
0.001,0.115,0.0,0.0,0.0,0.635,0.249,0.0,1
0.0,0.003,0.0,0.0,0.0,0.858,0.139,0.0,1
0.003,0.028,0.0,0.0,0.0,0.924,0.044,0.0,1
0.0,0.0,0.0,0.0,0.0,0.997,0.001,0.002,1
0.0,0.003,0.0,0.064,0.0,0.856,0.01,0.067,1
0.001,0.061,0.0,0.0,0.0,0.855,0.082,0.0,1
0.001,0.108,0.0,0.0,0.0,0.836,0.054,0.0,1
0.001,0.011,0.0,0.0,0.0,0.768,0.22,0.0,1
0.006,0.0,0.0,0.0,0.0,0.989,0.005,0.0,1
0.0,0.009,0.0,0.0,0.871,0.119,0.0,0.001,1
0.002,0.006,0.0,0.0,0.0,0.972,0.02,0.0,1
0.002,0.092,0.0,0.0,0.0,0.851,0.055,0.0,1
0.003,0.087,0.0,0.0,0.0,0.894,0.016,0.0,1
0.0,0.001,0.0,0.0,0.011,0.986,0.001,0.0,1
0.0,0.004,0.0,0.0,0.946,0.049,0.0,0.0,1
0.002,0.109,0.0,0.0,0.0,0.843,0.045,0.0,1
0.0,0.0,0.0,0.0,0.001,0.993,0.005,0.0,1
0.004,0.136,0.0,0.0,0.0,0.83,0.03,0.0,1
0.002,0.122,0.0,0.0,0.001,0.799,0.075,0.0,1
0.0,0.002,0.0,0.0,0.363,0.632,0.001,0.001,1
0.002,0.123,0.0,0.0,0.0,0.818,0.055,0.0,1
